,Drug1_ID,Drug2_ID,Y,Neg samples
0,DB06772,DB01204,25,DB01242$t
1,DB09232,DB01023,25,DB00768$h
2,DB00678,DB00472,5,DB00947$t
3,DB00764,DB01137,25,DB00567$t
4,DB01275,DB06403,66,DB01156$t
5,DB00371,DB01440,25,DB00751$t
6,DB08976,DB00158,12,DB01394$h
7,DB09227,DB01041,25,DB01611$t
8,DB01220,DB01154,6,DB05630$h
9,DB08807,DB01407,36,DB00792$t
10,DB05676,DB00764,25,DB00492$h
11,DB00821,DB01380,25,DB08881$t
12,DB00224,DB09102,9,DB01156$t
13,DB06737,DB08808,34,DB08883$h
14,DB08820,DB00700,9,DB00561$t
15,DB08922,DB09097,12,DB01236$h
16,DB06737,DB09215,25,DB08916$h
17,DB00199,DB09232,5,DB00338$h
18,DB00936,DB08981,25,DB01051$h
19,DB04911,DB00498,9,DB00650$h
20,DB08912,DB00224,8,DB01608$t
21,DB09279,DB00210,25,DB01429$t
22,DB00472,DB00734,5,DB00663$h
23,DB00991,DB01210,34,DB00975$t
24,DB00224,DB04908,9,DB00931$t
25,DB00227,DB00593,5,DB08994$h
26,DB08820,DB00744,9,DB01288$t
27,DB01026,DB00643,5,DB00897$h
28,DB01591,DB00757,75,DB09076$h
29,DB08933,DB01181,9,DB11362$h
30,DB01236,DB01041,53,DB03756$h
31,DB00337,DB01210,34,DB06654$h
32,DB08880,DB00896,25,DB00182$t
33,DB01075,DB01440,25,DB06209$t
34,DB01245,DB00960,51,DB01089$h
35,DB00849,DB01161,25,DB00575$h
36,DB01154,DB00903,66,DB01362$h
37,DB09054,DB09102,9,DB09094$t
38,DB08912,DB01418,8,DB01284$h
39,DB01026,DB06712,5,DB13231$h
40,DB01236,DB00472,75,DB01597$h
41,DB00968,DB01203,25,DB08865$h
42,DB00486,DB00633,53,DB06794$h
43,DB00224,DB00343,5,DB01359$h
44,DB06287,DB08916,9,DB00884$t
45,DB00831,DB00472,25,DB08974$t
46,DB08808,DB08976,25,DB06707$t
47,DB09280,DB00897,6,DB09087$h
48,DB09281,DB00530,8,DB09230$h
49,DB09065,DB00869,5,DB00765$h
50,DB00497,DB06212,25,DB06589$h
51,DB00678,DB00964,25,DB00279$t
52,DB01320,DB00734,6,DB00834$h
53,DB00381,DB09236,66,DB01005$t
54,DB01088,DB00964,25,DB00828$h
55,DB01233,DB00246,75,DB06802$t
56,DB04855,DB01380,5,DB04918$h
57,DB00897,DB06716,25,DB06654$h
58,DB09236,DB01041,25,DB00206$h
59,DB01320,DB06212,8,DB00370$h
60,DB08984,DB09084,25,DB00214$t
61,DB00607,DB06712,6,DB09130$h
62,DB00500,DB01210,34,DB00379$h
63,DB00224,DB00708,5,DB00427$h
64,DB00690,DB00296,25,DB01288$h
65,DB00633,DB00933,25,DB00975$h
66,DB00933,DB00588,25,DB06290$h
67,DB01159,DB00700,25,DB00385$h
68,DB09054,DB00907,5,DB00308$h
69,DB04573,DB00498,33,DB06788$t
70,DB08976,DB02709,25,DB01558$h
71,DB00936,DB00588,25,DB09124$t
72,DB00224,DB01222,9,DB00278$t
73,DB00224,DB04871,5,DB08943$t
74,DB01591,DB00199,75,DB00181$h
75,DB09280,DB04855,8,DB00592$h
76,DB08954,DB04272,45,DB00871$t
77,DB06708,DB04871,5,DB06782$t
78,DB00903,DB00412,12,DB06710$h
79,DB00962,DB01041,53,DB11239$h
80,DB00210,DB08970,25,DB09069$t
81,DB09072,DB00486,53,DB06739$t
82,DB01110,DB00343,25,DB06792$h
83,DB09214,DB00500,25,DB01106$h
84,DB01026,DB06708,9,DB00415$t
85,DB00734,DB00508,25,DB00957$t
86,DB00899,DB01075,25,DB00326$t
87,DB00210,DB09215,25,DB00993$t
88,DB00782,DB01036,25,DB09124$h
89,DB09330,DB00497,9,DB09352$h
90,DB09084,DB00384,34,DB00819$t
91,DB00647,DB09224,25,DB00513$t
92,DB01297,DB00598,73,DB01226$t
93,DB09275,DB08970,3,DB00301$h
94,DB08954,DB01418,45,DB00277$t
95,DB00749,DB09215,25,DB01437$t
96,DB00734,DB04878,12,DB00220$t
97,DB02709,DB05676,25,DB11148$t
98,DB09054,DB00530,9,DB01035$t
99,DB11613,DB01220,9,DB00906$h
100,DB04871,DB01274,5,DB00642$h
101,DB09330,DB00343,9,DB00551$h
102,DB00932,DB09039,9,DB00704$h
103,DB09232,DB08860,25,DB00578$t
104,DB09054,DB00381,5,DB00627$h
105,DB00849,DB01203,66,DB01463$t
106,DB01089,DB06403,66,DB00282$t
107,DB00486,DB00384,25,DB00614$t
108,DB08984,DB01021,12,DB09345$t
109,DB08976,DB00384,34,DB00689$h
110,DB08893,DB01244,5,DB13179$h
111,DB04948,DB06268,66,DB00242$h
112,DB00210,DB00255,12,DB08865$t
113,DB08933,DB05676,9,DB00315$t
114,DB01075,DB01155,75,DB00736$h
115,DB00486,DB00296,53,DB01093$t
116,DB09214,DB04552,25,DB00912$h
117,DB01320,DB06403,6,DB11256$h
118,DB09280,DB01274,8,DB01233$h
119,DB00896,DB01245,25,DB04570$h
120,DB00332,DB00647,25,DB00188$h
121,DB00343,DB12026,5,DB00754$h
122,DB09074,DB06710,5,DB00792$h
123,DB00381,DB09477,66,DB01611$h
124,DB09084,DB03615,14,DB00711$t
125,DB09054,DB00700,9,DB00634$h
126,DB01624,DB04908,25,DB05246$h
127,DB00744,DB00700,34,DB00952$h
128,DB00800,DB01210,25,DB00792$t
129,DB00497,DB04908,25,DB00552$t
130,DB00343,DB00656,5,DB01065$h
131,DB09074,DB00869,5,DB01332$t
132,DB08881,DB00227,8,DB00291$t
133,DB00996,DB00588,25,DB01431$h
134,DB09330,DB00317,9,DB02187$t
135,DB06789,DB00491,12,DB08905$t
136,DB08933,DB06654,9,DB01583$h
137,DB09204,DB00700,25,DB01127$h
138,DB00472,DB09204,9,DB06145$h
139,DB08912,DB00643,8,DB01169$t
140,DB00991,DB00960,34,DB05039$t
141,DB01215,DB01161,25,DB00854$t
142,DB01167,DB00700,9,DB02300$h
143,DB09072,DB00831,53,DB06730$h
144,DB06708,DB00680,9,DB00247$t
145,DB00744,DB01578,14,DB04272$t
146,DB06737,DB04272,45,DB00527$t
147,DB09065,DB06212,9,DB09167$t
148,DB01021,DB06712,66,DB09221$t
149,DB09215,DB01210,34,DB00730$t
150,DB09279,DB09084,25,DB12278$h
151,DB00224,DB00231,5,DB00648$h
152,DB00326,DB09230,12,DB01057$t
153,DB01591,DB00647,25,DB00280$t
154,DB09477,DB01113,25,DB11126$t
155,DB00412,DB00231,5,DB00435$h
156,DB00800,DB01203,66,DB01137$t
157,DB00227,DB06708,5,DB00266$h
158,DB08880,DB00744,8,DB00390$h
159,DB00312,DB09224,25,DB09119$t
160,DB00231,DB00933,25,DB06786$h
161,DB00312,DB01236,6,DB00513$h
162,DB06772,DB00643,25,DB09137$t
163,DB09280,DB00343,9,DB04878$t
164,DB00897,DB00907,25,DB00500$h
165,DB00331,DB01268,63,DB08819$t
166,DB04855,DB08875,5,DB08933$t
167,DB09215,DB00421,34,DB01599$h
168,DB09477,DB00633,25,DB11793$h
169,DB09242,DB01023,66,DB01000$t
170,DB00224,DB00317,5,DB01001$t
171,DB00968,DB01113,25,DB00441$h
172,DB09215,DB00700,34,DB01586$h
173,DB00897,DB01159,25,DB09094$t
174,DB01034,DB06712,25,DB01256$t
175,DB00314,DB01421,72,DB00235$t
176,DB00962,DB00849,25,DB00766$h
177,DB00936,DB08807,34,DB00014$h
178,DB00246,DB05676,5,DB11614$h
179,DB08880,DB00678,5,DB08873$t
180,DB08992,DB01320,9,DB00788$h
181,DB09232,DB06712,25,DB09343$h
182,DB00343,DB01181,11,DB08994$t
183,DB00932,DB00497,5,DB00184$h
184,DB00224,DB01110,5,DB01023$h
185,DB09330,DB12026,9,DB00596$t
186,DB01297,DB08976,25,DB01191$h
187,DB01167,DB01591,5,DB06207$h
188,DB06737,DB00498,45,DB09048$t
189,DB01026,DB09065,9,DB09225$h
190,DB09275,DB01137,0,DB00759$h
191,DB00338,DB01320,9,DB09272$h
192,DB00343,DB00734,66,DB01325$t
193,DB09281,DB00896,3,DB00982$h
194,DB08893,DB00757,75,DB00180$h
195,DB00338,DB01041,5,DB06817$h
196,DB00296,DB01203,25,DB09273$h
197,DB08820,DB00381,9,DB09082$h
198,DB09074,DB00744,5,DB06480$h
199,DB05676,DB00919,14,DB01075$h
200,DB06196,DB00588,25,DB11348$t
201,DB00633,DB01203,50,DB11613$h
202,DB09135,DB00331,25,DB08907$h
203,DB00647,DB04908,25,DB04918$h
204,DB00849,DB01275,66,DB08798$t
205,DB00588,DB00467,25,DB00285$h
206,DB00288,DB01021,64,DB08996$t
207,DB09214,DB00469,25,DB09288$h
208,DB02709,DB08860,9,DB00686$h
209,DB09065,DB09102,9,DB06637$h
210,DB00849,DB01587,25,DB01140$t
211,DB00991,DB06196,25,DB00415$t
212,DB01075,DB00960,5,DB09060$h
213,DB00231,DB01154,25,DB01260$t
214,DB09214,DB09215,25,DB06207$t
215,DB01587,DB09017,25,DB01126$t
216,DB00708,DB01395,25,DB01250$h
217,DB00472,DB06701,5,DB00115$h
218,DB09279,DB01113,25,DB01204$t
219,DB00744,DB06196,25,DB06412$t
220,DB00326,DB08992,12,DB01124$t
221,DB00224,DB00620,5,DB01160$t
222,DB00680,DB00472,25,DB06724$t
223,DB08893,DB00530,5,DB09257$h
224,DB09065,DB04908,9,DB00293$t
225,DB08933,DB04908,9,DB09020$h
226,DB01244,DB00486,25,DB01082$t
227,DB09065,DB00708,5,DB01150$t
228,DB01215,DB06716,25,DB11135$h
229,DB00371,DB09034,53,DB01081$t
230,DB09073,DB01110,9,DB00134$t
231,DB06287,DB00331,12,DB01418$t
232,DB01591,DB00486,80,DB09288$t
233,DB00957,DB01252,12,DB00714$h
234,DB09065,DB00234,5,DB01001$h
235,DB09084,DB00700,34,DB11106$h
236,DB00472,DB09039,9,DB01615$h
237,DB01023,DB01158,25,DB00599$t
238,DB00991,DB04552,25,DB00014$t
239,DB09204,DB09227,25,DB00922$h
240,DB01274,DB09039,75,DB00220$h
241,DB00343,DB08916,9,DB00481$h
242,DB08881,DB01039,8,DB06268$t
243,DB08881,DB00332,8,DB00708$h
244,DB09072,DB00967,53,DB00677$t
245,DB00337,DB00598,34,DB00432$h
246,DB05676,DB01021,12,DB00350$t
247,DB01240,DB00899,25,DB01280$h
248,DB01215,DB00472,25,DB01600$h
249,DB02709,DB00764,25,DB00513$h
250,DB01098,DB06212,9,DB09130$t
251,DB08808,DB01085,25,DB00910$h
252,DB09065,DB09073,9,DB09061$t
253,DB00486,DB00371,53,DB00802$h
